bug_submission,bug_comment,review_submission,review_comment,forum_thread,committer
38,10,4,0,0,0
9,1,0,1,0,1
13,12,4,0,0,0
0,1,2,0,0,1
1,0,1,0,0,0
28,6,38,6,24,1
0,0,11,0,0,0
3,0,4,1,0,0
0,4,3,0,0,0
0,1,1,0,0,0
3,0,2,0,0,0
234,158,172,23,61,8
4,3,0,2,0,0
282,671,5,4,4604,2
76,268,260,252,153,2
11,3,4,0,1,1
2,0,2,0,0,0
51,111,1,0,103,1
271,404,882,725,176,3
249,549,666,1071,310,2
0,0,1,1,0,0
29,41,297,14,26,1
1,0,2,0,0,0
0,0,3,0,0,0
91,9,37,0,0,0
0,0,9,0,0,0
4,5,4,0,0,0
3,6,1,1,0,0
0,0,0,1,0,0
27,7,17,1,0,0
4,1,63,1,0,0
0,0,0,2,0,0
0,3,11,0,0,0
2,0,35,17,0,1
0,0,1,0,0,0
0,0,1,0,0,0
96,38,0,1,108,3
0,0,2,0,0,0
3,4,63,42,0,0
0,0,1,0,0,0
0,2,10,1,0,0
31,645,3,0,335,4
0,3,1,0,0,0
0,1,1,0,0,0
97,102,125,212,229,2
1,0,1,0,0,0
9,1,9,0,0,0
0,0,0,1,0,0
4,0,7,0,0,0
2,0,2,0,0,0
0,0,6,2,0,0
0,1,1,0,0,0
4,13,40,2,0,0
2,0,3,3,0,0
1,1,1,0,0,0
26,8,20,0,41,1
3,0,1,0,0,0
3,2,14,0,0,0
0,0,1,0,0,0
4,2,16,0,0,0
1,0,2,0,0,0
0,2,21,0,0,0
26,5,36,6,0,0
9,53,11,0,0,0
8,8,8,0,0,0
15,11,11,1,3,2
0,0,0,1,0,0
3,2,1,0,0,0
173,310,0,1,0,1
18,2,2,0,0,0
0,1,1,0,0,0
12,22,19,4,0,0
2,3,1,0,0,0
0,0,2,0,0,0
4,0,30,0,0,0
0,0,2,0,0,0
19,2,63,1,0,0
0,0,1,0,0,0
122,24,28,5,0,0
1,0,2,0,0,0
3,2,1,0,0,0
36,5,1,0,0,0
64,81,110,26,0,1
6,24,50,1,1,2
29,6,16,7,0,0
1,0,1,0,0,0
1,1,1,0,0,0
1,1,3,0,0,0
0,1,3,0,0,0
